Network Size;Dataset Type;Scoring;TP;FP;FN;Precision;Recall;F1_Score;SHD;Jaccard Distance
10;async_SINGLE_attr_heavy;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;async_SINGLE_attr_heavy;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;async_SINGLE_full;BDE;2;4;8;0.3333;0.2000;0.2500;12;0.8571
10;async_SINGLE_full;MDL;1;5;9;0.1667;0.1000;0.1250;14;0.9333
10;async_SINGLE_sampled_f3;BDE;2;0;8;1.0000;0.2000;0.3333;8;0.8000
10;async_SINGLE_sampled_f3;MDL;2;0;8;1.0000;0.2000;0.3333;8;0.8000
10;async_SINGLE_trans_heavy;BDE;0;2;10;0.0000;0.0000;0.0000;12;1.0000
10;async_SINGLE_trans_heavy;MDL;0;2;10;0.0000;0.0000;0.0000;12;1.0000
10;async_attr_heavy;BDE;5;5;5;0.5000;0.5000;0.5000;10;0.6667
10;async_attr_heavy;MDL;5;5;5;0.5000;0.5000;0.5000;10;0.6667
10;async_full;BDE;8;22;2;0.2667;0.8000;0.4000;24;0.7500
10;async_full;MDL;8;22;2;0.2667;0.8000;0.4000;24;0.7500
10;async_sampled_f3;BDE;8;21;2;0.2759;0.8000;0.4103;23;0.7419
10;async_sampled_f3;MDL;8;20;2;0.2857;0.8000;0.4211;22;0.7333
10;async_trans_heavy;BDE;9;20;1;0.3103;0.9000;0.4615;21;0.7000
10;async_trans_heavy;MDL;9;19;1;0.3214;0.9000;0.4737;20;0.6897
10;sync_SINGLE_attr_heavy;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;sync_SINGLE_attr_heavy;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;sync_SINGLE_full;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;sync_SINGLE_full;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;sync_SINGLE_sampled_f3;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;sync_SINGLE_sampled_f3;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;sync_SINGLE_trans_heavy;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;sync_SINGLE_trans_heavy;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
10;sync_attractor_heavy;BDE;1;21;9;0.0455;0.1000;0.0625;30;0.9677
10;sync_attractor_heavy;MDL;1;18;9;0.0526;0.1000;0.0690;27;0.9643
10;sync_full;BDE;1;23;9;0.0417;0.1000;0.0588;32;0.9697
10;sync_full;MDL;2;18;8;0.1000;0.2000;0.1333;26;0.9286
10;sync_sampled_f3;BDE;1;19;9;0.0500;0.1000;0.0667;28;0.9655
10;sync_sampled_f3;MDL;1;16;9;0.0588;0.1000;0.0741;25;0.9615
10;sync_transient_heavy;BDE;1;23;9;0.0417;0.1000;0.0588;32;0.9697
10;sync_transient_heavy;MDL;2;18;8;0.1000;0.2000;0.1333;26;0.9286
16;async_SINGLE_attr_heavy;BDE;0;4;30;0.0000;0.0000;0.0000;34;1.0000
16;async_SINGLE_attr_heavy;MDL;0;4;30;0.0000;0.0000;0.0000;34;1.0000
16;async_SINGLE_full;BDE;2;19;28;0.0952;0.0667;0.0784;47;0.9592
16;async_SINGLE_full;MDL;2;18;28;0.1000;0.0667;0.0800;46;0.9583
16;async_SINGLE_sampled_f3;BDE;3;9;27;0.2500;0.1000;0.1429;36;0.9231
16;async_SINGLE_sampled_f3;MDL;2;10;28;0.1667;0.0667;0.0952;38;0.9500
16;async_SINGLE_trans_heavy;BDE;0;0;30;0.0000;0.0000;0.0000;30;1.0000
16;async_SINGLE_trans_heavy;MDL;0;0;30;0.0000;0.0000;0.0000;30;1.0000
16;async_attr_heavy;BDE;17;26;13;0.3953;0.5667;0.4658;39;0.6964
16;async_attr_heavy;MDL;17;28;13;0.3778;0.5667;0.4533;41;0.7069
16;async_full;BDE;23;25;7;0.4792;0.7667;0.5897;32;0.5818
16;async_full;MDL;23;25;7;0.4792;0.7667;0.5897;32;0.5818
16;async_sampled_f3;BDE;22;26;8;0.4583;0.7333;0.5641;34;0.6071
16;async_sampled_f3;MDL;22;26;8;0.4583;0.7333;0.5641;34;0.6071
16;async_trans_heavy;BDE;14;34;16;0.2917;0.4667;0.3590;50;0.7812
16;async_trans_heavy;MDL;14;34;16;0.2917;0.4667;0.3590;50;0.7812
16;sync_SINGLE_attr_heavy;BDE;2;6;28;0.2500;0.0667;0.1053;34;0.9444
16;sync_SINGLE_attr_heavy;MDL;2;6;28;0.2500;0.0667;0.1053;34;0.9444
16;sync_SINGLE_full;BDE;1;6;29;0.1429;0.0333;0.0541;35;0.9722
16;sync_SINGLE_full;MDL;2;6;28;0.2500;0.0667;0.1053;34;0.9444
16;sync_SINGLE_sampled_f3;BDE;0;0;30;0.0000;0.0000;0.0000;30;1.0000
