GeneName	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
x1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x7	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
x8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x10	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
