GeneName	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
x1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
x2	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
x4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x6	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
x7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x8	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1
x9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
x10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
